1201,insight,洞察,25,4,1
1202,outlook,考え方,25,4,1
1203,caution,用心,25,4,1
1204,will,意志,25,4,1
1205,option,選択肢,25,4,1
1206,nightmare,悪夢,25,4,1
1207,keen,鋭い,25,2,1
1208,cherish,を大切にする,25,1,1
1209,intend,するつもりだ,25,1,1
1210,suspect,ではないかと思う,25,1,1
1211,comprehend,を(十分に)理解する,25,1,2
1212,misunderstand,を誤解している,25,1,2
1213,identify,を(何なのか)特定する,25,1,2
1214,permit,を許可する,25,1,2
1215,acknowledge,を認める,25,1,2
1216,trim,を刈り込む,25,1,2
1217,omit,を省く,25,1,2
1218,cultivate,を耕す,25,1,2
1219,shade,日陰,25,4,2
1220,breeze,そよ風,25,4,2
1221,desert,砂漠,25,4,3
1222,fog,霧,25,4,3
1223,moisture,湿気,25,4,3
1224,damp,湿った,25,2,3
1225,path,道,25,4,3
1226,trail,山道,25,4,3
1227,stream,小川,25,4,3
1228,tide,潮,25,4,3
1229,habitat,生息地,25,4,3
1230,layer,層,25,4,3
1231,volcano,火山,25,4,4
1232,mine,鉱山,25,4,4
1233,scent,香り,25,4,4
1234,wheat,小麦,25,4,4
1235,swallow,ツバメ,25,4,4
1236,web,巣,25,4,4
1237,cattle,ウシ,25,4,4
1238,kitten,子ネコ,25,4,4
1239,organism,生物,25,4,4
1240,wildlife,野生生物,25,4,4
1241,beast,野獣,25,4,5
1242,ape,類人猿,25,4,5
1243,mammal,哺乳動物,25,4,5
1244,flock,群れ,25,4,5
1245,breed,繁殖する,25,1,5
1246,reproduce,繁殖する,25,1,5
1247,hatch,(卵から)かえる,25,1,5
1248,diligent,勤勉な,25,2,5
1249,noble,高潔な,25,2,5
1250,arrogant,傲慢な,25,2,5
1251,timid,臆病な,26,2,1
1252,humble,控えめな,26,2,1
1253,inclined,する傾向がある,26,1,1
1254,principal,主要な,26,2,1
1255,prime,最重要な,26,2,1
1256,indispensable,不可欠な,26,2,1
1257,grave,重大な,26,2,1
1258,definite,明確な,26,2,1
1259,evident,明らかな,26,2,1
1260,prominent,目立った,26,2,1
1261,marked,際立った,26,2,2
1262,grace,優美さ,26,4,2
1263,charm,魅力,26,4,2
1264,rational,理性的な,26,2,2
1265,magnificent,壮大な,26,2,2
1266,superior,より優れている,26,2,2
1267,loyal,忠実な,26,2,2
1268,horrible,とてもひどい,26,2,2
1269,miserable,悲惨な,26,2,2
1270,dull,退屈な,26,2,2
1271,nasty,不快な,26,2,3
1272,insane,正気でない,26,2,3
1273,ridiculous,ばかげた,26,2,3
1274,notorious,悪名高い,26,2,3
1275,evil,悪い,26,2,3
1276,mess,乱雑,26,4,3
1277,vast,広大な,26,2,3
